"phrase","id","phoneme","stress","type","inherent_ms","before_floor_ms","after_floor_ms","before_ms","after_ms","delta_ms","source","rules"
"Sip zip, sip ship, sip sip.","segment_2:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","P_REL","","stop_release","2.931034482758621","0","0","5","5","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_2:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","P_ASP","","stop_aspiration","31.06896551724138","0","0","10","10","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; s_cluster_aspiration_reduction; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_2:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","Z","","fricative","90","54","48","88","87","-1","{""source"":""ZZ"",""minimum_ms"":40,""inherent_ms"":75,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiceless_release_and_aspiration; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_4","IH","1","vowel","100","42","29.62962962962963","128","134","6","{""source"":""IH"",""minimum_ms"":40,""inherent_ms"":135,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_5:remap_stops_to_closures:0","P_CL","","stop_closure","50","30","27.77777777777778","40","39","-1","{""source"":""PP"",""minimum_ms"":50,""inherent_ms"":90,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_5:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","P_REL","","stop_release","15","0","0","15","15","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_5:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","P_ASP","","stop_aspiration","15.53448275862069","0","0","16","16","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_5:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","SIL","","silence","100","60","0","150","150","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; punctuation_pause; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_7","S","","fricative","100","60","57.142857142857146","102","103","1","{""source"":""SS"",""minimum_ms"":60,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_8","IH","1","vowel","100","42","29.62962962962963","102","103","1","{""source"":""IH"",""minimum_ms"":40,""inherent_ms"":135,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_9:remap_stops_to_closures:0","P_CL","","stop_closure","50","30","27.77777777777778","39","38","-1","{""source"":""PP"",""minimum_ms"":50,""inherent_ms"":90,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_9:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","P_REL","","stop_release","2.931034482758621","0","0","5","5","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_9:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","P_ASP","","stop_aspiration","31.06896551724138","0","0","10","10","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; s_cluster_aspiration_reduction; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_9:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","SH","","fricative","100","60","76.19047619047619","97","99","2","{""source"":""SH"",""minimum_ms"":80,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiceless_release_and_aspiration; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_11","IH","1","vowel","100","42","29.62962962962963","128","134","6","{""source"":""IH"",""minimum_ms"":40,""inherent_ms"":135,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_12:remap_stops_to_closures:0","P_CL","","stop_closure","50","30","27.77777777777778","40","39","-1","{""source"":""PP"",""minimum_ms"":50,""inherent_ms"":90,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_12:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","P_REL","","stop_release","15","0","0","15","15","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_12:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","P_ASP","","stop_aspiration","15.53448275862069","0","0","16","16","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_12:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","SIL","","silence","100","60","0","150","150","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; punctuation_pause; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_14","S","","fricative","100","60","57.142857142857146","102","103","1","{""source"":""SS"",""minimum_ms"":60,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_15","IH","1","vowel","100","42","29.62962962962963","141","150","9","{""source"":""IH"",""minimum_ms"":40,""inherent_ms"":135,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_16:remap_stops_to_closures:0","P_CL","","stop_closure","50","30","27.77777777777778","41","40","-1","{""source"":""PP"",""minimum_ms"":50,""inherent_ms"":90,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_16:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","P_REL","","stop_release","2.931034482758621","0","0","5","5","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_16:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","P_ASP","","stop_aspiration","31.06896551724138","0","0","10","10","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; s_cluster_aspiration_reduction; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_16:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","S","","fricative","100","60","57.142857142857146","79","77","-2","{""source"":""SS"",""minimum_ms"":60,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiceless_release_and_aspiration; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_18","IH","1","vowel","100","42","29.62962962962963","132","140","8","{""source"":""IH"",""minimum_ms"":40,""inherent_ms"":135,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_19:remap_stops_to_closures:0","P_CL","","stop_closure","50","30","27.77777777777778","41","40","-1","{""source"":""PP"",""minimum_ms"":50,""inherent_ms"":90,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"Sip zip, sip ship, sip sip.","segment_19:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","P_REL","","stop_release","15","0","0","15","15","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_19:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","P_ASP","","stop_aspiration","15.53448275862069","0","0","10","10","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; s_cluster_aspiration_reduction; duration_floor_stop_release"
"Sip zip, sip ship, sip sip.","segment_19:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","SIL","","silence","100","60","0","300","300","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; punctuation_pause; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_0","AH","0","vowel","50","21","10.714285714285714","46","45","-1","{""source"":""AH"",""minimum_ms"":60,""inherent_ms"":140,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_1","Z","","fricative","90","54","48","92","92","0","{""source"":""ZZ"",""minimum_ms"":40,""inherent_ms"":75,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; pre_boundary_lengthening; duration_cap; fricative_minimum_duration; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_2","UW","1","vowel","180","75.6","60","184","185","1","{""source"":""UW"",""minimum_ms"":70,""inherent_ms"":210,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_3:remap_stops_to_closures:0","K_CL","","stop_closure","60","36","45","62","61","-1","{""source"":""KK"",""minimum_ms"":60,""inherent_ms"":80,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; word_initial_lengthening; cluster_shortening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_3:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:0","K_REL","","stop_release","12.951807228915664","0","0","13","13","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"A zoo can be fun on a sunny day.","segment_3:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:1","K_ASP","","stop_aspiration","30.048192771084338","0","0","30","30","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiceless_release_and_aspiration; insert_mapped_voiceless_release_and_aspiration; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"A zoo can be fun on a sunny day.","segment_3:remap_stops_to_closures:0:insert_mapped_voiceless_release_and_aspiration:2","AE","1","vowel","170","71.39999999999999","59.130434782608695","157","154","-3","{""source"":""AE"",""minimum_ms"":80,""inherent_ms"":230,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiceless_release_and_aspiration; stress_duration; polysyllabic_shortening; vowel_shortening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_5","N","","nasal","70","42","58.333333333333336","60","66","6","{""source"":""NN"",""minimum_ms"":50,""inherent_ms"":60,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_6:remap_stops_to_closures:0","B_CL","","stop_closure","45","27","31.764705882352942","46","46","0","{""source"":""BB"",""minimum_ms"":60,""inherent_ms"":85,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","remap_stops_to_closures; remap_stops_to_closures; word_initial_lengthening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_6:remap_stops_to_closures:0:insert_mapped_voiced_release:0","B_REL","","stop_release","5","0","0","5","5","0","{""source"":""uncompressed"",""minimum_ms"":0,""inherent_ms"":1,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis"",""Engineering policy: silence and generated release/aspiration use explicit timing and timeline safety floors""]}","insert_mapped_voiced_release; insert_mapped_voiced_release; cluster_shortening; duration_cap; lock_stop_release_duration; duration_floor_stop_release"
"A zoo can be fun on a sunny day.","segment_6:remap_stops_to_closures:0:insert_mapped_voiced_release:1","IY","1","vowel","150","63","53.225806451612904","151","151","0","{""source"":""IY"",""minimum_ms"":55,""inherent_ms"":155,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","insert_mapped_voiced_release; stress_duration; polysyllabic_shortening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_8","F","","fricative","90","54","72","92","91","-1","{""source"":""FF"",""minimum_ms"":80,""inherent_ms"":100,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_9","AH","1","vowel","100","42","42.857142857142854","115","115","0","{""source"":""AH"",""minimum_ms"":60,""inherent_ms"":140,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; vowel_shortening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_10","N","","nasal","70","42","58.333333333333336","60","66","6","{""source"":""NN"",""minimum_ms"":50,""inherent_ms"":60,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_11","AA","1","vowel","180","75.6","75","191","191","0","{""source"":""AA"",""minimum_ms"":100,""inherent_ms"":240,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_12","N","","nasal","70","42","58.333333333333336","60","66","6","{""source"":""NN"",""minimum_ms"":50,""inherent_ms"":60,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_13","AH","0","vowel","50","21","10.714285714285714","44","42","-2","{""source"":""AH"",""minimum_ms"":60,""inherent_ms"":140,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_14","S","","fricative","100","60","57.142857142857146","102","103","1","{""source"":""SS"",""minimum_ms"":60,""inherent_ms"":105,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; word_initial_lengthening; cluster_shortening; duration_cap; fricative_minimum_duration; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_15","AH","1","vowel","100","42","42.857142857142854","99","99","0","{""source"":""AH"",""minimum_ms"":60,""inherent_ms"":140,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; polysyllabic_shortening; vowel_shortening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_16","N","","nasal","70","42","58.333333333333336","57","65","8","{""source"":""NN"",""minimum_ms"":50,""inherent_ms"":60,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; non_word_initial_consonant_shortening; word_medial_consonant_shortening; cluster_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
"A zoo can be fun on a sunny day.","segment_17","IY","0","vowel","70","29.4","12.419354838709678","61","58","-3","{""source"":""IY"",""minimum_ms"":55,""inherent_ms"":155,""unstressed_scale"":0.5,""citations"":[""Allen et al. 1987 Table 9-1 p.96 (row named by source)"",""Engineering adaptation: source MIN/INHERENT ratio scaled to Qlatt duration basis""]}","inventory_materialization; stress_duration; accent_vowel_lengthening; polysyllabic_shortening; vowel_shortening; pre_boundary_lengthening; duration_cap; duration_floor_default"
